antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
write	negative	NP V to NP that S[+future]	object	believe	future	A didn't write to B that C would happen	0.4215627610683441
articulate	negative	NP V that S[+future]	subject	want	future	A didn't articulate that C would happen	0.4375818967819214
type	negative	NP V to NP that S[+future]	object	want	future	A didn't type to B that C would happen	0.4645509421825409
fess_up	positive	NP V that S[+future]	subject	want	future	A fessed up that C would happen	0.40221092104911804
ascertain	negative	NP V that S	subject	want	past	A didn't ascertain that C happened	0.37909403443336487
wonder	positive	NP V that S[+future]	subject	believe	future	A wondered that C would happen	0.47317492961883545
jest	negative	NP V to NP that S[+future]	subject	want	future	A didn't jest to B that C would happen	0.3679402768611908
note	positive	NP V to NP that S	object	believe	past	A noted to B that C happened	0.7498153448104858
certify	positive	NP V to NP that S	object	believe	past	A certified to B that C happened	0.8117054104804993
overestimate	positive	NP be V that S[+future]	subject	believe	future	A was overestimated that C would happen	0.7576841711997986
retract	negative	NP V that S	subject	want	past	A didn't retract that C happened	0.5220993757247925
electrify	negative	NP be V that S[-tense]	subject	want	future	A wasn't electrified that C happen	0.230306938290596
accept	negative	NP V that S[+future]	subject	believe	future	A didn't accept that C would happen	0.14177832007408142
overhear	positive	NP be V that S	subject	believe	past	A was overheard that C happened	0.7599411010742188
conclude	negative	NP V to NP that S[+future]	subject	want	future	A didn't conclude to B that C would happen	0.3895019590854645
cringe	negative	NP V that S[+future]	subject	believe	future	A didn't cringe that C would happen	0.6136168241500854
communicate	negative	NP V to NP that S[+future]	subject	want	future	A didn't communicate to B that C would happen	0.3428383469581604
voice	negative	NP V that S[+future]	subject	believe	future	A didn't voice that C would happen	0.3474899232387543
specify	positive	NP V that S	subject	believe	past	A specified that C happened	0.8927869200706482
obsess	negative	NP V that S[-tense]	subject	want	future	A didn't obsess that C happen	0.4128969609737396
curse	positive	NP be V that S[+future]	subject	believe	future	A was cursed that C would happen	0.7113443613052368
dare	negative	NP V that S[-tense]	subject	want	future	A didn't dare that C happen	0.24957384169101715
brood	positive	NP V that S[+future]	subject	believe	future	A brooded that C would happen	0.8113815188407898
tell	positive	NP V that S	subject	want	past	A told that C happened	0.6055070757865906
highlight	positive	NP V that S[+future]	subject	want	future	A highlighted that C would happen	0.6586431264877319
maintain	negative	NP V that S	subject	want	past	A didn't maintain that C happened	0.3303409218788147
delight	negative	NP be V that S	subject	believe	past	A wasn't delighted that C happened	0.8274151086807251
relay	positive	NP V that S[-tense]	subject	want	future	A relayed that C happen	0.562883198261261
admit	negative	NP V that S[+future]	subject	believe	future	A didn't admit that C would happen	0.3392598330974579
disregard	positive	NP V that S[+future]	subject	want	future	A disregarded that C would happen	0.2703045904636383
disappoint	positive	NP be V that S	subject	want	past	A was disappointed that C happened	0.06548862904310226
dispirit	positive	NP be V that S[+future]	subject	believe	future	A was dispirited that C would happen	0.6646295785903931
refuse	positive	NP V that S[+future]	subject	believe	future	A refused that C would happen	0.1620388627052307
confess	negative	NP V to NP that S	subject	want	past	A didn't confess to B that C happened	0.28555893898010254
comprehend	positive	NP V that S	subject	believe	past	A comprehended that C happened	0.9276750087738037
suggest	negative	NP V to NP that S	subject	want	past	A didn't suggest to B that C happened	0.36334502696990967
frown	positive	NP V that S	subject	believe	past	A frowned that C happened	0.7510747909545898
notice	positive	NP V that S[+future]	subject	want	future	A noticed that C would happen	0.6114261746406555
assure	positive	NP V to NP that S[+future]	object	believe	future	A assured to B that C would happen	0.7693411111831665
doubt	positive	NP V that S[+future]	subject	believe	future	A doubted that C would happen	0.12218581885099411
joke	positive	NP V to NP that S	object	want	past	A joked to B that C happened	0.5467237830162048
circulate	negative	NP V that S[+future]	subject	believe	future	A didn't circulate that C would happen	0.33719009160995483
hint	negative	NP V to NP that S	object	believe	past	A didn't hint to B that C happened	0.29935088753700256
admit	positive	NP V that S[+future]	subject	believe	future	A admitted that C would happen	0.8793503046035767
add	positive	NP V that S[+future]	subject	want	future	A added that C would happen	0.7121225595474243
piece_together	positive	NP V to NP that S	subject	want	past	A pieced together to B that C happened	0.54107266664505
prefer	negative	NP V that S[-tense]	subject	believe	future	A didn't prefer that C happen	0.46330901980400085
sob	positive	NP V to NP that S[+future]	subject	want	future	A sobbed to B that C would happen	0.0834197923541069
notify	negative	NP V NP that S	object	want	past	A didn't notify B that C happened	0.29831641912460327
daydream	negative	NP V that S[+future]	subject	believe	future	A didn't daydream that C would happen	0.39131078124046326
terrify	positive	NP be V that S	subject	want	past	A was terrified that C happened	0.07392001152038574
tweet	positive	NP V to NP that S	subject	believe	past	A tweeted to B that C happened	0.8455735445022583
guarantee	negative	NP V to NP that S	subject	want	past	A didn't guarantee to B that C happened	0.38039475679397583
derive	negative	NP V that S[+future]	subject	want	future	A didn't derive that C would happen	0.3538883924484253
relay	negative	NP be V that S[+future]	subject	want	future	A wasn't relayed that C would happen	0.4054638743400574
proclaim	positive	NP V to NP that S[+future]	subject	want	future	A proclaimed to B that C would happen	0.8537098169326782
disgust	negative	NP be V that S	subject	believe	past	A wasn't disgusted that C happened	0.6886138916015625
believe	positive	NP V NP that S	subject	believe	past	A believed B that C happened	0.9472910761833191
excite	positive	NP V that S	subject	want	past	A excited that C happened	0.9182608127593994
plot	negative	NP V that S[+future]	subject	want	future	A didn't plot that C would happen	0.36161187291145325
spook	negative	NP be V that S[+future]	subject	believe	future	A wasn't spooked that C would happen	0.6291921138763428
volunteer	positive	NP V to NP that S	subject	want	past	A volunteered to B that C happened	0.6531981229782104
represent	positive	NP V to NP that S[+future]	subject	believe	future	A represented to B that C would happen	0.8244088292121887
sweat	negative	NP V that S	subject	believe	past	A didn't sweat that C happened	0.7485489249229431
pout	negative	NP V to NP that S[+future]	object	believe	future	A didn't pout to B that C would happen	0.5547351837158203
misinform	negative	NP V that S[+future]	subject	believe	future	A didn't misinform that C would happen	0.5447137951850891
broadcast	negative	NP V that S[+future]	subject	want	future	A didn't broadcast that C would happen	0.46429842710494995
gall	positive	NP be V that S[+future]	subject	want	future	A was galled that C would happen	0.10847951471805573
reassert	negative	NP V to NP that S	subject	want	past	A didn't reassert to B that C happened	0.49042075872421265
petrify	positive	NP be V that S	subject	believe	past	A was petrified that C happened	0.868834912776947
moan	negative	NP V to NP that S	object	want	past	A didn't moan to B that C happened	0.5610867142677307
contrive	positive	NP be V that S[-tense]	subject	want	future	A was contrived that C happen	0.4957004487514496
narrate	positive	NP V to NP that S	object	believe	past	A narrated to B that C happened	0.7479660511016846
investigate	positive	NP V that S	subject	want	past	A investigated that C happened	0.6027372479438782
presuppose	negative	NP V that S[+future]	subject	want	future	A didn't presuppose that C would happen	0.42424386739730835
deem	positive	NP V that S[-tense]	subject	want	future	A deemed that C happen	0.6629941463470459
gossip	negative	NP V to NP that S	subject	want	past	A didn't gossip to B that C happened	0.5092735886573792
represent	negative	NP V to NP that S[+future]	object	believe	future	A didn't represent to B that C would happen	0.3531423807144165
figure_out	negative	NP V that S[+future]	subject	believe	future	A didn't figure out that C would happen	0.21146860718727112
communicate	positive	NP V that S[+future]	subject	believe	future	A communicated that C would happen	0.8340597748756409
please	positive	NP be V that S	subject	believe	past	A was pleased that C happened	0.8743526935577393
inspect	negative	NP V that S	subject	believe	past	A didn't inspect that C happened	0.4752184748649597
stipulate	negative	NP V that S	subject	believe	past	A didn't stipulate that C happened	0.4774141013622284
illustrate	negative	NP V that S[+future]	subject	believe	future	A didn't illustrate that C would happen	0.4419071674346924
sigh	negative	NP V to NP that S[+future]	object	believe	future	A didn't sigh to B that C would happen	0.46225103735923767
bet	positive	NP V NP that S	object	want	past	A bet B that C happened	0.3505249619483948
mock	positive	NP V that S[+future]	subject	want	future	A mocked that C would happen	0.53729647397995
enrage	positive	NP be V that S	subject	believe	past	A was enraged that C happened	0.8702201247215271
stew	negative	NP be V that S	subject	believe	past	A wasn't stewed that C happened	0.7825959920883179
perplex	negative	NP be V that S[+future]	subject	want	future	A wasn't perplexed that C would happen	0.6871479153633118
mark	positive	NP V that S	subject	want	past	A marked that C happened	0.5977197289466858
utter	positive	NP V to NP that S[+future]	object	want	future	A uttered to B that C would happen	0.5327680706977844
realize	positive	NP V that S[+future]	subject	want	future	A realized that C would happen	0.5450916290283203
dismay	positive	NP be V that S	subject	believe	past	A was dismayed that C happened	0.8579038381576538
protest	positive	NP V that S[+future]	subject	believe	future	A protested that C would happen	0.6417965292930603
